x1;x2;x3;x4;data
0.0;0.0;0.0;0.0;0.9184606802839763
0.0;0.1;0.0;0.1;0.8820432418410609
0.0;0.2;0.0;0.2;0.8939221091545462
0.0;0.3;0.0;0.3;0.887207197536399
0.0;0.4;0.0;0.4;0.8528608566202117
0.0;0.5;0.0;0.5;0.8287041101599055
0.0;0.6;0.0;0.6;0.8348041921140024
0.0;0.7;0.0;0.7;0.8653579812134842
0.0;0.8;0.0;0.8;0.8721328229586374
0.0;0.9;0.0;0.9;0.890642855983319
0.1;0.0;0.1;0.0;0.9066495799600793
0.1;0.1;0.1;0.1;0.8035776334695466
0.1;0.2;0.1;0.2;0.759660929371391
0.1;0.3;0.1;0.3;0.8547341197644138
0.1;0.4;0.1;0.4;0.7963708543014836
0.1;0.5;0.1;0.5;0.7555147488057395
0.1;0.6;0.1;0.6;0.7780210277471689
0.1;0.7;0.1;0.7;0.8363127721297279
0.1;0.8;0.1;0.8;0.8097015249080093
0.1;0.9;0.1;0.9;0.8160675234466681
0.2;0.0;0.2;0.0;0.9196389069512756
0.2;0.1;0.2;0.1;0.795132231667951
0.2;0.2;0.2;0.2;0.5426381103961126
0.2;0.3;0.2;0.3;0.7398957015152545
0.2;0.4;0.2;0.4;0.7568995137947421
0.2;0.5;0.2;0.5;0.7111420373127489
0.2;0.6;0.2;0.6;0.7547924884348378
0.2;0.7;0.2;0.7;0.830005156321826
0.2;0.8;0.2;0.8;0.8156681782760552
0.2;0.9;0.2;0.9;0.7763000474425904
0.3;0.0;0.3;0.0;0.9065370468599813
0.3;0.1;0.3;0.1;0.8628430766236895
0.3;0.2;0.3;0.2;0.6852222003555624
0.3;0.3;0.3;0.3;0.6742019852126053
0.3;0.4;0.3;0.4;0.7768176028040417
0.3;0.5;0.3;0.5;0.7518697793580179
0.3;0.6;0.3;0.6;0.7924484820610289
0.3;0.7;0.3;0.7;0.8521315064978365
0.3;0.8;0.3;0.8;0.8799883229102066
0.3;0.9;0.3;0.9;0.8396142703608147
0.4;0.0;0.4;0.0;0.8770931520262232
0.4;0.1;0.4;0.1;0.8244664226452874
0.4;0.2;0.4;0.2;0.8334976385369941
0.4;0.3;0.4;0.3;0.812862594834267
0.4;0.4;0.4;0.4;0.8138902735765916
0.4;0.5;0.4;0.5;0.8252964861012583
0.4;0.6;0.4;0.6;0.849668806948638
0.4;0.7;0.4;0.7;0.8833085229683009
0.4;0.8;0.4;0.8;0.8254146680064998
0.4;0.9;0.4;0.9;0.7650515579252063
0.5;0.0;0.5;0.0;0.8565491568496156
0.5;0.1;0.5;0.1;0.8182237133281132
0.5;0.2;0.5;0.2;0.8525067124392144
0.5;0.3;0.5;0.3;0.896560048562882
0.5;0.4;0.5;0.4;0.8144540826540103
0.5;0.5;0.5;0.5;0.8499996253920257
0.5;0.6;0.5;0.6;0.8944219982482574
0.5;0.7;0.5;0.7;0.8952207398078844
0.5;0.8;0.5;0.8;0.8526905845080173
0.5;0.9;0.5;0.9;0.8142640824839946
0.6;0.0;0.6;0.0;0.8611897682355407
0.6;0.1;0.6;0.1;0.8508363258829263
0.6;0.2;0.6;0.2;0.8882951679116109
0.6;0.3;0.6;0.3;0.9224583472657588
0.6;0.4;0.6;0.4;0.907739690806349
0.6;0.5;0.6;0.5;0.8805940321240187
0.6;0.6;0.6;0.6;0.9095082509184705
0.6;0.7;0.6;0.7;0.9280786588107302
0.6;0.8;0.6;0.8;0.875745455074709
0.6;0.9;0.6;0.9;0.8176643996440489
0.7;0.0;0.7;0.0;0.8868180379587625
0.7;0.1;0.7;0.1;0.8925293910241607
0.7;0.2;0.7;0.2;0.9201407148354327
0.7;0.3;0.7;0.3;0.9411874778623018
0.7;0.4;0.7;0.4;0.9383530553942384
0.7;0.5;0.7;0.5;0.9314904340320248
0.7;0.6;0.7;0.6;0.9278910674688944
0.7;0.7;0.7;0.7;0.9316973842616371
0.7;0.8;0.7;0.8;0.8701026693402953
0.7;0.9;0.7;0.9;0.8036984721844289
0.8;0.0;0.8;0.0;0.9157142661162584
0.8;0.1;0.8;0.1;0.9248301917566679
0.8;0.2;0.8;0.2;0.9428214534145045
0.8;0.3;0.8;0.3;0.9442435104124516
0.8;0.4;0.8;0.4;0.9336766901171301
0.8;0.5;0.8;0.5;0.9295269684541998
0.8;0.6;0.8;0.6;0.9347105650073582
0.8;0.7;0.8;0.7;0.9380397502397252
0.8;0.8;0.8;0.8;0.893199561746065
0.8;0.9;0.8;0.9;0.8545186032922182
0.9;0.0;0.9;0.0;0.9386158103677142
0.9;0.1;0.9;0.1;0.9465200910475454
0.9;0.2;0.9;0.2;0.9562612261278999
0.9;0.3;0.9;0.3;0.9442150044475147
0.9;0.4;0.9;0.4;0.9325709253518195
0.9;0.5;0.9;0.5;0.9270078851766604
0.9;0.6;0.9;0.6;0.9314759531700809
0.9;0.7;0.9;0.7;0.942737795806423
0.9;0.8;0.9;0.8;0.9222248669252042
0.9;0.9;0.9;0.9;0.9050167123747894
